Day,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76
11,0.005529375,0.0156,0.0127,0.0,0.0154,0.004265809,0.005888097,0.0,0.160944101,0.054956624,0.073951667,0.104283406,0.136481713,0.09761709,0.085684384,0.072018436,0.040921722,0.059017231,0.037627527,0.0,0.05250551,0.061267301,0.096749858,0.044520314,0.035368621,0.0729,0.012991359,0.013686487,0.01473969,0.012760289,0.012766787,0.01344505,0.013195725,0.013260128,0.014579031,0.014527785,0.007687831,0.013270899,0.013371631,0.012714609,0.013495089,0.014502259,0.00969918,0.001599366,0.0141858,0.013055095,0.015219721,0.005107923,0.004382017,0.002286219,0.005170858,0.004859811,0.014258651,0.014407143,0.007891075,0.01533168,0.00751588,0.007706527,0.007523371,0.005294819,0.00456963,0.005273629,0.004813754,0.004327246,0.004374059,0.005274303,0.004513711,0.005632748,0.00508391,0.004320327,0.005548572,0.004409931,0.005568831,0.005135314,0.004381484,0.005163014
12,0.006091639,0.017,0.0138,0.000183465,0.016766667,0.004830107,0.006469487,0.0,0.162978058,0.069701577,0.081677187,0.106742536,0.137718685,0.104009346,0.085632535,0.074810881,0.042145137,0.062481901,0.04088161,0.0,0.056330363,0.067115659,0.096571829,0.048047394,0.038383041,0.0795,0.014188479,0.014958919,0.016050692,0.013880385,0.01388905,0.014701386,0.014347007,0.014504137,0.015910967,0.015816866,0.008441422,0.014429957,0.014623073,0.01381612,0.014754761,0.0157887,0.010700042,0.002011062,0.015474555,0.014241599,0.01657482,0.005683836,0.004902157,0.00279593,0.005751606,0.005550145,0.015552081,0.015697527,0.008680822,0.016693098,0.008376647,0.008579527,0.008384618,0.005824741,0.005137129,0.005801713,0.005383825,0.00484901,0.004863415,0.005802446,0.004975871,0.006211448,0.005656828,0.004846882,0.006126385,0.004874452,0.006146857,0.005651399,0.004865699,0.005736765
13,0.006653902,0.0184,0.0149,0.000366929,0.018133333,0.005394405,0.007050877,0.0,0.165012016,0.084446531,0.089402707,0.109201666,0.138955657,0.110401603,0.085580685,0.077603327,0.043368552,0.065946572,0.044135693,0.0,0.060155216,0.072964017,0.0963938,0.051574475,0.041397461,0.0861,0.015385599,0.016231352,0.017361695,0.015000481,0.015011312,0.015957723,0.015498289,0.015748145,0.017242902,0.017105947,0.009195014,0.015589016,0.015874515,0.014917632,0.016014434,0.01707514,0.011700904,0.002422758,0.01676331,0.015428104,0.017929918,0.006259749,0.005422298,0.003305641,0.006332355,0.00624048,0.016845511,0.016987911,0.009470568,0.018054516,0.009237413,0.009452526,0.009245865,0.006354663,0.005704628,0.006329797,0.005953897,0.005370775,0.00535277,0.006330588,0.005438032,0.006790147,0.006229745,0.005373436,0.006704198,0.005338973,0.006724883,0.006167484,0.005349915,0.006310516
14,0.007216165,0.0198,0.016,0.000550394,0.0195,0.005958703,0.007632267,0.0,0.167045973,0.099191485,0.097128226,0.111660796,0.140192629,0.116793859,0.085528836,0.080395773,0.044591967,0.069411243,0.047389776,0.0,0.063980068,0.078812375,0.096215771,0.055101555,0.044411881,0.0927,0.016582719,0.017503784,0.018672697,0.016120577,0.016133574,0.01721406,0.016649571,0.016992154,0.018574838,0.018395028,0.009948605,0.016748074,0.017125957,0.016019143,0.017274106,0.018361581,0.012701766,0.002834454,0.018052065,0.016614608,0.019285017,0.006835662,0.005942439,0.003815351,0.006913103,0.006930815,0.018138941,0.018278295,0.010260314,0.019415933,0.01009818,0.010325526,0.010107112,0.006884586,0.006272127,0.006857882,0.006523968,0.00589254,0.005842126,0.006858731,0.005900192,0.007368847,0.006802662,0.005899991,0.00728201,0.005803494,0.00730291,0.006683569,0.00583413,0.006884266
15,0.009183748,0.0247,0.0197,0.002237184,0.0237,0.008738142,0.010477214,0.0,0.181269428,0.124642011,0.124526786,0.154858524,0.168991115,0.137592765,0.109727564,0.114793964,0.050157501,0.082738442,0.057603284,0.001376494,0.077747187,0.153622618,0.09534004,0.090258856,0.090138639,0.1211,0.020574078,0.02179146,0.023216707,0.019880866,0.019900362,0.021424476,0.020554699,0.021143395,0.023148128,0.022851353,0.01252416,0.020684309,0.021312879,0.019725188,0.021500535,0.022807344,0.015827571,0.00457235,0.022023276,0.02043193,0.023451047,0.009356041,0.008344354,0.005575196,0.009443754,0.009144745,0.022123878,0.022316265,0.013234892,0.023604784,0.012812589,0.013075858,0.012822932,0.009255112,0.009063835,0.009211464,0.009325533,0.008244285,0.007867977,0.009212852,0.007646098,0.010203484,0.009615137,0.008299897,0.010113248,0.007579621,0.010134965,0.008926546,0.007808293,0.009699935
16,0.011167608,0.0299,0.0237,0.004422483,0.0334,0.012534946,0.014365005,0.0,0.19497994,0.141349991,0.140970366,0.189634474,0.189167831,0.150436535,0.129304312,0.125837828,0.056023876,0.096185977,0.067530995,0.003012416,0.091044037,0.164562906,0.094425388,0.106559001,0.101132368,0.1587,0.024501238,0.025996433,0.028060717,0.023865794,0.023883665,0.025503902,0.024759826,0.025126661,0.027817224,0.027607678,0.01505433,0.024920543,0.025354127,0.023731233,0.025605981,0.027553106,0.022127397,0.00663578,0.030999084,0.028987692,0.033043522,0.014033841,0.012667935,0.007586288,0.014152264,0.012558198,0.031143137,0.031531783,0.01927078,0.033271446,0.017810217,0.018187195,0.017825028,0.01230184,0.012877679,0.012228153,0.013153069,0.011273128,0.010311652,0.012230497,0.009585487,0.014076953,0.013457824,0.011415219,0.013981996,0.009574896,0.01400485,0.011747152,0.01015916,0.013547059
17,0.017995141,0.0356,0.028,0.011451453,0.0448,0.024435057,0.02654065,0.0,0.205527309,0.194351684,0.158591661,0.207922401,0.200789443,0.166457914,0.146192313,0.14232585,0.074412703,0.137995177,0.098509964,0.009931511,0.134144172,0.168443196,0.110119346,0.108902398,0.104554625,0.1998,0.029529636,0.031390271,0.033345394,0.028316515,0.028350633,0.03085911,0.029299142,0.030452282,0.033353869,0.032790057,0.021446348,0.029496149,0.030697588,0.028038286,0.030969195,0.032723162,0.03163863,0.013723719,0.041996801,0.039722131,0.044383793,0.022512609,0.020940666,0.014699552,0.022648894,0.020466076,0.042164991,0.042649977,0.028539498,0.044652055,0.02659809,0.027038232,0.026615383,0.022450608,0.024829391,0.02230453,0.025146244,0.021344311,0.018989236,0.022309176,0.017065679,0.026209229,0.025496884,0.021692355,0.026099976,0.017184598,0.02612627,0.021350987,0.018615714,0.025599554
18,0.020920165,0.0415,0.0321,0.014437519,0.0505,0.02871521,0.030917235,0.088456758,0.207931725,0.206372686,0.188234547,0.23889855,0.230165676,0.227032507,0.17796842,0.172502041,0.080648358,0.152308378,0.108897207,0.012783285,0.148346289,0.185389219,0.138337334,0.113705516,0.109250049,0.2336,0.035013593,0.037366812,0.038711409,0.032702886,0.032767872,0.036845308,0.033706833,0.036445877,0.039294708,0.038024544,0.025248077,0.0339505,0.036686723,0.032147354,0.036953391,0.037941806,0.036108491,0.01666261,0.047434797,0.045008889,0.050044892,0.026398841,0.024698973,0.017618183,0.026546218,0.023891684,0.047618708,0.048175006,0.032916205,0.050340015,0.030596832,0.031078113,0.030615741,0.02618435,0.029127605,0.026015312,0.029458969,0.025047904,0.022253502,0.026020689,0.019953056,0.030570636,0.029825667,0.025460873,0.030456379,0.020112219,0.030483877,0.024911899,0.021810303,0.029933039
19,0.022151796,0.043,0.033466667,0.015526719,0.052066667,0.030296815,0.032537199,0.090167108,0.209064472,0.206299832,0.202367137,0.251697877,0.255297688,0.250564603,0.199500621,0.196034137,0.083074702,0.157111356,0.112436658,0.01390504,0.153644651,0.191248858,0.147587645,0.114936434,0.110995936,0.237533333,0.0360889,0.038458596,0.040171854,0.034009264,0.034067752,0.037885585,0.035096292,0.037446704,0.040576901,0.039475247,0.026404164,0.035343415,0.037711338,0.033514692,0.038004344,0.039391335,0.037502143,0.017806848,0.048964614,0.046502854,0.051606088,0.027646409,0.025924034,0.018786057,0.027795737,0.025138465,0.049150736,0.04971089,0.034250062,0.051904563,0.031924223,0.032411289,0.031943359,0.027530602,0.030716393,0.027351788,0.031053529,0.026382973,0.023400718,0.027357475,0.02093894,0.032184561,0.031426615,0.026823704,0.032068314,0.021115487,0.032096292,0.026184562,0.022927724,0.031535858
20,0.023383427,0.0445,0.034833333,0.016615919,0.053633333,0.031878419,0.034157163,0.091877458,0.210197219,0.206226977,0.216499728,0.264497204,0.2804297,0.274096699,0.221032823,0.219566233,0.085501046,0.161914333,0.115976109,0.015026796,0.158943012,0.197108498,0.156837955,0.116167352,0.112741824,0.241466667,0.037164208,0.03955038,0.0416323,0.035315642,0.035367631,0.038925862,0.03648575,0.038447531,0.041859094,0.040925949,0.027560251,0.03673633,0.038735952,0.03488203,0.039055296,0.040840864,0.038895794,0.018951085,0.050494431,0.047996818,0.053167283,0.028893977,0.027149096,0.019953931,0.029045256,0.026385246,0.050682763,0.051246774,0.03558392,0.053469112,0.033251613,0.033744465,0.033270977,0.028876854,0.032305181,0.028688264,0.03264809,0.027718042,0.024547933,0.028694262,0.021924824,0.033798487,0.033027563,0.028186535,0.03368025,0.022118754,0.033708706,0.027457225,0.024045145,0.033138677
